eNB1	eNB2	Using
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	0
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
25.3792	-22.6785	25.3792
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
29.4525	-19.2787	29.4525
